hashed_id,userid,assignment,version_b,friday
d22a622142e9e0853ff69463653e11eb760dca18c66a8b96157d2741efd26de9f9c1c2ed77438c675561b8e27eb7b05a3ead06f3fbc718e0e7ffa84c81151928,sg_user00001,0,,
365bef7c770245ef2b3b96a6138b1071f5f33138f3fafa534f9c62758edbfcef14d90db7e03557adc6ab44238fbb861dd27ee7815dec3f9e127e4234bc04e1b9,sg_user00002,1,0.0,0.0
90c0a336a8f17fe56b6dd5cd9638e357d193a518171d697f7c6d59c1efdf78077b4c13d5646626b99d528bab6809a2ba0663aa21e7ff788cb7f74f5c6792b224,sg_user00003,1,0.0,1.0
e368da05a23d4a22b56e9a0d76c991b972474cf671e5adc6e7f591fe6c82e069234601cab9245379535f0f616d027a4d2161892fafcefe06c42686ea8e9ccbaa,sg_user00004,1,0.0,0.0
cd025d3a0b07cf33d27a6bb21f383b185f8685e533e409c4901f4d78c8345b101a4bd1911cce53d9c4dbf6130a192bbf60936f8d859fd147462474b88e42c0d8,sg_user00005,1,1.0,0.0
203b9385c467ac82390031742870b22dd6ced2389ee5d7468c2b17a3e02619b9ec2bfda4bad9d35587991f329b2ca20f2236fd0f3c4b34f5aa62ebb8427a2020,sg_user00006,0,,
479b20dd920efc67e796758c28736480ba15fad1292ae10ef241b96f71148d9091e3f39f763ea834c6070959d35d7fdc10941e8c27371ab1b0659d96ff2fa14c,sg_user00007,1,0.0,1.0
d021fdde7d75e8c617ebf5742ee9a24671fe0b6523c26b08f564295c81192cd1d73316584647d062edda91422707adde87b62a837a5c6227cc0bd75457865dce,sg_user00008,0,,
45a14babb71c4feeaeab1888554468e0e20c5d8e5ecc093b6f9c9eb1524c35ea2ac515c2eff7bc07e075eee432e904040df12faf2b3468424aa638802ff07eb5,sg_user00009,0,,
172cf37989ab6ad463a8fd9c13be9c0ebce97ad365ea91142b1ed907d3b0ef727d9773991137f9805a431b88bbe5872582a7c7edb43353e05fdf04cb92f3e514,sg_user00010,1,1.0,0.0
3c49d6f4f05aa91bb21acca0578ea658d38a7a784f5194a43cbc175250cb391253aadf164aee6f6432230752b8504966c98cbb8bdd36dd1afddc67d3d994d66e,sg_user00011,1,0.0,1.0
94beb552b5548e9c5fe6a194b395f6beb5373135a3ebfb196534f793e5088b8123eb97820301b05875ebeb966e77f30ecbddaa358b28c628988510e423c2050a,sg_user00012,1,1.0,0.0
08c7f03ab33f98c6a7f527cefc3baf00a45ad9d27f32500c33279ce456d717bf322642f699ff37403afa16bcb5f3f68f329f2e49e4093a08f501d59c763b59a8,sg_user00013,0,,
d8082d6d5ef20d80f898f7d0b336a1279a09696c93573527a6f697484b7e7f1e8d4b4c7b51b9a243f19386548578c1b66334e27012792da1d1f00db9413a64ba,sg_user00014,0,,
7cb275ec9cb88b3de32b5c7176faebd16c1d865e2a8563d5fd10dbcdb79a569051db4f8eb35486fc4e4c302c508a420c53f5f703fa8345be75c839eca564b3d6,sg_user00015,0,,
526cf39f537763dc55960ba4148859fe1099cf13898ba56741bdc1aa3a7e651c4ec277efef6ff08ea6f75d5cd62d965da728f390d485d0f3c397327b8c16e54d,sg_user00016,1,1.0,1.0
0c2acb47b2e990cd69c702d33ed3d05362a291a9c2b26100807df091943954189473a8d2c1eb2fa56464c7d22bee8ab7c54829554fba8e434ed2237fb8528510,sg_user00017,1,0.0,0.0
dec127fbc769a0f3b3543fa3b6c7456293fa9b4a28d1af46bba49876715bc8a46ff2a3106c5ecab9c69398b2d8500c39311dc47737c3dc9bffb05d636af7fbde,sg_user00018,1,1.0,0.0
fbd8742068ab5d63f5adeca7b2e147c88d049ef1b214c4e5872c2388ea7e3a457210d9ddfbdfd09915132b09fd6924934d4b9662de326f95ade418ef824c83b5,sg_user00019,0,,
f984136d01a9e8cf4873d91b6c03bdff0f314a72a3c1f47284de7e9f835686c8c62cc92b7a17d933cc320f0514e16a57db0bc12e9f910e15c6780ea205ca5412,sg_user00020,1,0.0,0.0
defeae9342b1167c4aac99e927a1dbc6e18220c3b7cb4b99b97f04a6b4e20a69aa005660d6e0bef731f0e06ed15058570ea1fa4f18eb1175201cf85558768a69,sg_user00021,1,0.0,0.0
7efd610840d14a4d0a1a742f0d796d9119279af39c83eceddf8ad2a3ac18f5b80666f6dec466f2a22a0c88b0db4ffba8038fa066ccafde9321c997923d6f9e74,sg_user00022,1,0.0,0.0
df40d8c92fa069f8c2b5cb74c088c18913c775ef3d4e39a3aa8dc959ace96da0d663f3464bfea5da541dca4758b097f3b0bddd108473d2fb39a6817e3956377b,sg_user00023,1,1.0,0.0
fb7b747e913c6b6228338078c919d0184f16fbc4a107457ece27f01e68200604c210bb49a76f2d6ee7b32f58bb36eacaa57580ae8632d148f512ab61f226e28b,sg_user00024,1,0.0,0.0
e72094ab06ba78d0454bef67fc292cfdd90fce09202f78475fd86dea53f8ae37ef7ee813ce05233b778854a289535968e94727400fb423399e304f929e337995,sg_user00025,0,,
82caa511e639d9d347e68cd47d66629b7bc52b2e7d8aa3b95faedbc73f292d201e6f118976c6780a3a66e7e5fb4a302c45c213ed499361eb62a02a9cc39cde5b,sg_user00026,1,0.0,1.0
5bee82a051e473be1cd946dba411380b03c89a26f47e6cd9acbbe82b34558999bbf61d88abdf871230bf9ed2127da91dee3687c1a1401b060429fa443819322e,sg_user00027,1,0.0,1.0
5f0f1ac00f373bf4fcc2a0abf7c423452ed5331a23f216b4499307a7bc27c5da25b889833a8308598dcbca5c221e44ad12ff9f9d491025a603002478d695a1e8,sg_user00028,1,1.0,0.0
447d692a8e25023402ca844673c5d3da2b2f5d6c8d3e7d6614c8970d069b8aad04fc68d387267ddfa0e4bd2f36c3505f29525e0c6942962c774b73372d189c37,sg_user00029,0,,
6eb26a41404f2947ebee140cbd617b67432da0700bc52da1164588a4b9e55a1374df0b35d922741a5b43e84815cc65bda4c8efd610b12c2eb80c08a179c77683,sg_user00030,1,1.0,1.0
