,RecordedDate,Q1,qreg
0,2020-11-26 18:21:18,"I would tell them that if they start early, they will have more time to work on big assignments instead of worrying about weekly exercises like this.",sg_user00150
1,2020-11-26 18:24:18,"Create to-do lists to organize your time. In this, set a specified time to complete your work.",sg_user01274
2,2020-11-26 18:32:02,"I am a slow walker, but I never walk back.",sg_user00074
3,2020-11-26 18:40:04,"Find a learning partner. Two people study together and supervise each other. The existence of learning partners will make us feel crisis-conscious. Peer-pressure will make us work harder because we don't want to fall behind. When your learning partner has started learning, you will also start learning involuntarily, because you don't want to widen the gap with your learning partner.",sg_user01750
4,2020-11-26 18:41:33,just do it once it comes out to get it out of the way,sg_user01220
5,2020-11-26 19:55:17,"You will gain a better understanding and it will be easier to do it if you start early, and don't rush and condense the work. ",sg_user01233
6,2020-11-26 19:59:53,Getting work done earlier takes away a lot of stress. I notice that when I do my work consistently instead of right before it’s due my attitude in general is a lot better cuz I know that’s one less thing I have to worry about in my life because it’s already done. ,sg_user01825
7,2020-11-26 20:33:52,I would say leave more time to study for tests or work on assignments,sg_user00806
8,2020-11-27 01:44:18,Miss the deadline will cause you lose marks,sg_user00759
9,2020-11-27 02:12:35,Start early to better manage your time,sg_user01031
10,2020-11-27 09:07:00,Just get it started.  That is always half the battle.,sg_user00086
11,2020-11-27 14:43:52,"I will customize the alarm clock a day in advance to complete them，If I don't get it done for some reason, I'll set the alarm three hours in advance to remind myself again.",sg_user01007
12,2020-11-27 18:17:51,,sg_user01122
13,2020-11-27 18:21:38,"I can’t give them any advice. Cuz I always forget to finish PCRS due to huge amount of homework. I just try my best to check it everyday. If there’s a new PCRS, I will work on it for immediately.",sg_user00960
14,2020-11-27 18:29:37,Starting late increases level of anxiety ,sg_user01162
15,2020-11-27 19:01:44,"The earlier one starts the work, the more time they have to go over it and get things clarified",sg_user00681
16,2020-11-27 20:50:16,Just do it,sg_user01766
17,2020-11-27 21:34:36,"The earlier you start, the more comfortably you will finish the assignment. Less stress",sg_user01107
18,2020-11-27 21:40:52,,sg_user01543
19,2020-11-27 21:41:17,Put the deadline one the calendar is really useful!,sg_user01543
20,2020-11-28 05:20:20,,sg_user00060
21,2020-11-28 19:17:11,If you start early you don't have to worry about it later,sg_user00007
22,2020-11-29 13:47:47,You can follow the lecture easier,sg_user01318
23,2020-11-29 13:48:03,,sg_user01318
24,2020-11-29 18:39:41,Schedule time dedicated to working on PCRS.,sg_user00512
25,2020-11-30 07:58:26,Make plans,sg_user01728
