,RecordedDate,qreg
0,2020-11-26 18:18:42,sg_user3000
1,2020-11-26 18:19:12,sg_user01537
2,2020-11-26 18:19:58,sg_user00150
3,2020-11-26 18:20:00,sg_user00630
4,2020-11-26 18:22:08,sg_user01353
5,2020-11-26 18:22:40,sg_user3000
6,2020-11-26 18:23:06,sg_user00241
7,2020-11-26 18:23:54,sg_user01908
8,2020-11-26 18:24:32,sg_user00055
9,2020-11-26 18:25:23,sg_user01289
10,2020-11-26 18:30:07,sg_user00625
11,2020-11-26 18:30:47,sg_user01438
12,2020-11-26 18:32:00,sg_user01362
13,2020-11-26 18:36:24,sg_user00693
14,2020-11-26 18:40:39,sg_user01750
15,2020-11-26 19:09:00,sg_user01743
16,2020-11-26 19:23:57,sg_user01796
17,2020-11-26 19:39:21,sg_user00258
18,2020-11-26 19:55:52,sg_user01233
19,2020-11-26 20:06:41,sg_user01526
20,2020-11-26 20:40:26,sg_user01434
21,2020-11-26 21:14:42,sg_user01418
22,2020-11-26 22:02:49,sg_hffe34449
23,2020-11-26 22:30:29,sg_user00042
24,2020-11-26 22:53:20,sg_user01453
25,2020-11-26 23:30:50,sg_user00966
26,2020-11-27 04:48:09,sg_user00782
27,2020-11-27 18:15:15,sg_user00817
28,2020-11-27 18:15:45,sg_user00514
29,2020-11-27 18:15:51,sg_user00145
30,2020-11-27 18:17:01,sg_user3000
31,2020-11-27 18:19:52,sg_user01997
32,2020-11-27 18:29:01,sg_user01928
33,2020-11-27 19:16:24,sg_user01829
34,2020-11-27 21:22:44,sg_user01997
35,2020-11-27 21:26:22,sg_user01997
36,2020-11-27 22:55:27,sg_user01422
37,2020-11-28 13:14:18,sg_user01915
38,2020-11-29 03:25:37,sg_user00920
39,2020-11-29 04:09:33,sg_user01466
40,2020-11-29 13:46:06,sg_user01318
41,2020-11-29 13:46:45,sg_user01318
42,2020-11-29 14:18:09,sg_user01653
43,2020-11-29 17:30:54,sg_user01121
